Year,UserID,ISBN,Title,Publisher,Quantity,OrderedID,ShippmentDate,State,ShipmentTo,Zipcod
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-1115,"01-01-2025 0.00","Andhra Pradesh",Ramapuram,515787
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-1122,"01-01-2025 0.00","Tamil Nadu",Kanchipuram,631501
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-1128,"01-01-2025 0.00","Andhra Pradesh",Sirsa,504201
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-1146,"01-01-2025 0.00",DELHI,"North Delhi",110013
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1157,"01-01-2025 0.00",Gujarat,Ahmedabad,380007
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1170,"01-01-2025 0.00","Tamil Nadu",Pollachi,642001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1174,"01-01-2025 0.00",Punjab,Patiala,147001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1178,"01-01-2025 0.00",Haryana,Faridabad,121004
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1196,"01-01-2025 0.00",Haryana,Rewari,345027
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1238,"01-01-2025 0.00",Karnataka,Udupi,576101
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1244,"01-01-2025 0.00",Karnataka,Davangere,577001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1263,"01-01-2025 0.00",Kerala,Thrissur,680001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1284,"01-01-2025 0.00",Kerala,Alappuzha,688009
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",2,2025-01-1287,"01-01-2025 0.00","Tamil Nadu",Kanchipuram,631501
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1306,"01-01-2025 0.00",Rajasthan,Tonk,304001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1307,"01-01-2025 0.00",Maharashtra,Thane,400603
2025,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2025-01-1313,"01-01-2025 0.00",Sikkim,"North Sikkim",737116
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1318,"01-01-2025 0.00","Tamil Nadu",Tirunelveli,626140
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1333,"01-01-2025 0.00","Tamil Nadu",Kolkata,641005
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1348,"01-01-2025 0.00","Tamil Nadu",Sivakasi,626123
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-1355,"01-01-2025 0.00","West Bengal",Kolkata,700026
2025,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",2,2025-01-1360,"01-02-2025 0.00","Andhra Pradesh",Rajahmundry,533101
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1390,"01-02-2025 0.00","Andhra Pradesh",Visakhapatnam,530005
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1395,"01-02-2025 0.00","Andhra Pradesh",Hyderabad,500007
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1402,"01-02-2025 0.00",Chhattisgarh,Gorakhpur,495119
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-1409,"01-02-2025 0.00","West Bengal",Kanpur,713422
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1424,"01-02-2025 0.00",Bihar,Patna,756022
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-1458,"01-02-2025 0.00",Karnataka,Mangalore,575010
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-1463,"01-02-2025 0.00",Karnataka,Bagalkot,587101
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1472,"01-02-2025 0.00",Kerala,Thiruvananthapuram,695001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1480,"01-02-2025 0.00","Madhya Pradesh",Ujjain,456001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1491,"01-02-2025 0.00",Orissa,Khurda,752062
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-1504,"01-02-2025 0.00",Punjab,Patiala,147001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1516,"01-02-2025 0.00",Punjab,Ludhiana,141001
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-1522,"01-02-2025 0.00","TAMIL NADU",MADURAI,625002
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1534,"01-02-2025 0.00",Uttarakhand,Roorkee,247667
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1568,"01-02-2025 0.00","West Bengal",Kolkata,700001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1571,"01-03-2025 0.00","Andhra Pradesh",Hyderabad,500008
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",2,2025-01-1594,"01-03-2025 0.00","Tamil Nadu",Salem,403507
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1604,"01-03-2025 0.00",Punjab,Patiala,147005
2025,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2025-01-1619,"01-03-2025 0.00",Haryana,Panipat,132103
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1620,"01-03-2025 0.00",Karnataka,Jalandhar,470115
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1628,"01-03-2025 0.00",Karnataka,Shimoga,577201
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",2,2025-01-1638,"01-03-2025 0.00",Kerala,Thiruvananthapuram,695005
