Year,UserID,ISBN,Title,Publisher,Quantity,OrderedID,ShippmentDate,State,ShipmentTo,Zipcod
2025,59,9780998785011,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-1115,"1/1/2025 0:00","Andhra Pradesh",Ramapuram,515787
2025,59,9780998785011,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-1122,"1/1/2025 0:00","Tamil Nadu",Kanchipuram,631501
2025,59,9780998266343,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-1128,"1/1/2025 0:00","Andhra Pradesh",Sirsa,504201
2025,59,9780998785011,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-1146,"1/1/2025 0:00",DELHI,"North Delhi",110013
2025,59,9780998785059,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1157,"1/1/2025 0:00",Gujarat,Ahmedabad,380007
2025,59,9780998785066,"Trail Guide to the Body","Books Of Discovery",2,2025-01-1170,"1/1/2025 0:00","Tamil Nadu",Pollachi,642001
2025,59,9780998785066,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1174,"1/1/2025 0:00",Punjab,Patiala,147001
2025,59,9780998785059,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1178,"1/1/2025 0:00",Haryana,Faridabad,121004
2025,59,9780998785066,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1196,"1/1/2025 0:00",Haryana,Rewari,345027
2025,59,9780998785059,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1238,"1/1/2025 0:00",Karnataka,Udupi,576101
2025,59,9780998785066,"Trail Guide to the Body","Books Of Discovery",1,2025-01-1244,"1/1/2025 0:00",Karnataka,Davangere,577001
2025,59,9780998785059,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1263,"1/1/2025 0:00",Kerala,Thrissur,680001
2025,59,9780998785059,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1284,"1/1/2025 0:00",Kerala,Alappuzha,688009
2025,59,9780998785059,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",2,2025-01-1287,"1/1/2025 0:00","Tamil Nadu",Kanchipuram,631501
